id,name,star,comment,class,coordinate,address
1,新樹國民運動中心-運動易利站EasyGym,4.9,88,健身室,"25.0204643,121.4335093",新北市新莊區新樹路222號7樓
2,新北市板橋國民運動中心,4.3,3,綜合運動中心,"25.022699,121.4577278",新北市板橋區智樂路6號
3,運動操場,4.1,33,健身室,"25.0004676,121.4774292",新北市板橋區
4,新北市新莊國民運動中心,4.3,3,健身室,"25.0396395,121.4477684",新北市新莊區公園路11號
5,新北市三重國民運動中心,4.0,1,健身室,"25.0546254,121.4878983",新北市三重區集美街55號
6,新北市新店國民運動中心,4.0,897,綜合運動中心,"24.9671774,121.5424722",新北市新店區北新路一段88巷12號
7,新北市樹林國民運動中心,4.2,2,綜合運動中心,"25.0041909,121.423351",新北市樹林區中正路188-6號
8,新北市五股國民運動中心,4.6,864,綜合運動中心,"25.0950459,121.4484258",新北市五股區成泰路三段296號
9,新北市永和國民運動中心,4.3,4,綜合運動中心,"25.0031513,121.5241966",新北市永和區永利路250號
10,新北市運動廣場,4.3,110,公園,"25.010573,121.4692052",新北市板橋區漢生東路278號
11,板樹體育館,4.1,1,體育館,"24.9812082,121.427659",新北市板橋區溪城路90號
12,新北聯新運醫中心,5.0,1,綜合運動中心,"25.0168376,121.4564086",新北市板橋區中正路189號
13,新北市體育總會,4.3,3,協會或機構,"25.010554,121.469072",新北市板橋區漢生東路278號
14,新北市蘆洲國民運動中心,4.3,2,綜合運動中心,"25.0911212,121.4620618",新北市蘆洲區長樂路235-1號
15,Waypoint FITNESS,5.0,167,健身室,"25.0598045,121.4502956",新北市新莊區新北大道四段1號2樓
16,新北市政府體育局,2.6,10,地方政府機構,"25.0105539,121.4690719",新北市板橋區漢生東路278號
17,新北市土城國民運動中心,4.3,3,綜合運動中心,"24.9855894,121.4572112",新北市土城區金城路二段247-1號
18,Waypoint FITNESS 中和館,4.5,49,健身室,"25.0048925,121.5031762",新北市中和區中山路二段64巷9號2樓
19,新北市泰山國民運動中心,4.3,2,綜合運動中心,"25.0559747,121.4345916",新北市泰山區全興路167號
20,新北市板橋第二運動場,4.2,2,體育館,"25.0137359,121.4582533",新北市板橋區民權路117號
21,新北市汐止國民運動中心,4.4,2,綜合運動中心,"25.0652677,121.6571068",新北市汐止區汐科路321號
22,悍酷HANKU / 板橋店,4.6,53,健身室,"24.9999026,121.447333",新北市板橋區合安一路47號F棟
23,新北市板橋體育場,4.3,3,綜合運動中心,"25.0133202,121.4582875",新北市板橋區公館街
24,動趣健身俱樂部-泰山體育館,4.2,214,健身俱樂部,"25.055715,121.4265874",新北市泰山區公園路54號
25,新北市鶯歌國民運動中心,4.0,616,綜合運動中心,"24.9512886,121.35772",新北市鶯歌區館前路250號
26,板橋運動中心 合氣道館,5.0,6,合氣道學校,"25.022699,121.4577278",新北市板橋區智樂路6號
27,World Gym世界健身俱樂部 新北板橋重慶店Sport,4.9,1,健身室,"25.0004507,121.4636022",新北市板橋區重慶路247號B1
28,新北市淡水國民運動中心,4.3,2,綜合運動中心,"25.1873766,121.4425921",新北市淡水區中山北路二段381巷2號
29,FunGym X 來去運動 | 健身房 | 空中瑜珈 | 拳擊有氧 | 企業包班 | 場租,4.5,27,健身室,"25.0500109,121.4718791",新北市三重區光復路一段76號4樓
30,新北市板橋體育場,4.3,3,主場,沒有座標,新北市板橋區漢生東路278號
31,舞動陽光-泰山體育館,4.0,675,體育館,"25.055715,121.4265874",新北市泰山區公園路54號
32,舞動陽光運動中心重慶館,4.0,313,綜合運動中心,"24.994954,121.462277",新北市板橋區和平路103號
