id,name,star,comment,class,coordinate,address
1,VOL Sports 排球的室,5.0,1,體育用品店,"24.9868633,121.4855418",新北市中和區圓通路439-2號2樓
2,藍鵲排球館,4.7,71,排球場,"24.9868622,121.4855522",新北市中和區圓通路439-2號
3,林口Ace排球館 | 亞斯運動 | 室內排球館,4.1,35,綜合運動中心,"25.08826,121.3774824",新北市林口區民生路102-3號
4,戶外籃球場及排球場,3.2,5,籃球場,"25.0695427,121.4039673",新北市林口區
5,輔仁大學排球場,5.0,2,排球場,"25.0393185,121.4338776",新北市新莊區中正路510號
6,浮洲排球場,5.0,1,排球場,"25.0155839,121.4482707",新北市板橋區僑中一街124巷54-1號
7,新運動家體育用品社,4.1,145,運動用品店,"25.0026881,121.472556",新北市中和區莒光路105號
8,排球場(4),4.0,2,排球場,"24.9507827,121.5103126",新北市新店區
9,蘆堤排球場,4.5,102,排球場,"25.0892985,121.4551442",新北市蘆洲區環堤大道146號號
10,北泰運動用品,4.6,250,運動用品店,"25.0090103,121.5143862",新北市永和區永和路一段184號
11,運動操場,4.1,33,健身室,"25.0004676,121.4774292",新北市板橋區
12,同鞋會,4.6,564,體育用品店,"25.0005055,121.4734306",新北市中和區民享街86巷21號
13,65volleyball,4.9,40,排球場,"25.0022857,121.4513967",新北市板橋區大觀路二段19巷128號
14,新奇百貨體育店,4.4,178,運動用品店,"25.016907,121.476518",新北市板橋區中山路二段142號
15,OIN排球基地,4.7,27,運動協會,"25.0938236,121.4806108",新北市蘆洲區復興路323巷63號
16,北城體育用品有限公司,4.3,21,運動用品店,"24.988106,121.4303539",新北市板橋區溪北路154號
17,和興運動廣場,4.8,117,運動用品店,"25.010634,121.5204871",新北市永和區竹林路143號
18,萬岳運動用品店(中和環球店),3.2,25,運動用品店,"25.0061984,121.4751139",新北市中和區中山路三段122號
19,Attackline Club 三米線排球館,4.8,50,運動協會,"25.014964,121.444944",新北市板橋區僑中一街124巷27-5號
20,騰飛運動用品館,4.0,14,運動用品店,"24.9960765,121.5200625",新北市中和區自強路6號
21,DLIVE,4.0,35,運動服裝店,"25.082307,121.4805006",新北市蘆洲區集賢路393號4樓
22,永青運動器材有限公司,4.4,112,運動用品店,"24.9886729,121.5131414",新北市中和區景新街447號地下一樓
23,台藝大排球場,4.5,2,排球場,"25.0046196,121.4487686",新北市板橋區大觀路一段29巷
24,錦和運動公園籃球場,4.3,19,籃球場,"24.992576,121.4875759",新北市中和區
25,高強體育器材公司,3.0,2,運動用品店,"25.052336,121.453881",新北市新莊區昌平街41巷21號16樓
26,新北市新莊網球場,4.8,46,網球場,"25.0406099,121.4503957",新北市新莊區和興街66號
27,世運體育用品社,4.6,193,運動用品店,"25.071838,121.495014",新北市三重區三和路三段61號
28,612排球星球+,5.0,104,排球場,"24.9896853,121.452519",新北市土城區廣福街77巷6-18號
29,富益體育器材有限公司,2.5,4,體育用品店,"24.996724,121.4997552",新北市中和區圓通路93號
30,將門體育用品,4.0,19,運動用品店,"25.0193667,121.42143",新北市新莊區龍安路258號
31,宇成體育用品有限公司,4.4,107,運動用品店,"24.9816739,121.4567818",新北市土城區清水路76號
