id,name,star,comment,class,coordinate,address
1,獅子王桌球(光復館),4.9,228,乒乓球設施,"25.0360308,121.5573024",台北市大安區光復南路438號
2,欣宏桌球館,5.0,21,運動協會,"25.011718,121.4841119",新北市中和區中板路21號5樓
3,乒乓王國桌球運動館,5.0,4,乒乓球設施,"25.0150003,121.4723154",新北市板橋區中山路二段18號2 樓
4,永信乒乓-專業桌球運動館,4.9,47,乒乓球用品店,"25.0152731,121.4567262",新北市板橋區中正路102號2樓
5,冠軍桌球,5.0,5,乒乓球設施,"25.0092957,121.5145012","號4樓, No. 206永和路一段永和區新北市23445"
6,乒運動桌球館-Ping Sport table tennis club 兒童桌球 成人桌球,5.0,61,運動用品店,"24.9827633,121.5371506",新北市新店區民權路101號b1
7,國拓桌球,4.6,13,乒乓球設施,"25.0030188,121.5197839","樓, No. 214號秀朗路一段永和區新北市234"
8,乒博桌球館,4.9,159,乒乓球會,"25.0027335,121.5207776",新北市永和區秀朗路二段20號B1
9,宇宙貓乒乓-板橋桌球教室,4.8,21,乒乓球設施,"25.0187158,121.4644878",新北市板橋區文化路一段285巷1弄5號
10,拍拍桌球館/新北桌球/新莊桌球/新莊桌球教學/新莊兒童桌球/新莊才藝班/新莊體育班,5.0,39,主場,"25.0235972,121.4180307",新北市新莊區裕民街90巷3號1F
11,永和桌球練功坊,4.9,7,乒乓球設施,"25.0072094,121.5164914",新北市永和區福和路299號
12,環球乒乓-中和區桌球館 競技乒乓 親子桌球 桌球訓練 板橋區專業桌球訓練 桌球教練推薦,5.0,7,乒乓球設施,"25.0059806,121.4763025",新北市中和區中山路三段112號2樓
13,玫瑰公園桌球室,4.0,1,運動協會,"25.0234445,121.455758",新北市板橋區中正路372巷
14,乒夢 Persist 乒乓球館,4.9,266,乒乓球會,"25.064448,121.502051",新北市三重区福德北路12-2號號B1
15,乒球 乒乓運動館,5.0,15,乒乓球會,"25.0100288,121.5164216",新北市永和區中正路702巷2號B1
16,起點乒乓館-中和桌球教室,4.9,33,乒乓球設施,"24.9956321,121.4657552",新北市中和區壽德街15號1樓
17,123桌球,4.7,35,運動協會,"25.0011469,121.4998257",新北市中和區泰和街10號3樓
18,捷運板橋站桌球場,4.4,83,乒乓球設施,"25.0145867,121.4625171",新北市板橋區站前路5號
