id,name,star,comment,class,coordinate,address
1,富邦悍將棒球隊 新莊棒球場,4.5,213,棒球場,"25.0408957,121.4475281",新北市新莊區和興街66號
2,新北市立新莊棒球場,4.3,10,棒球場,沒有座標,新北市新莊區和興街66號
3,三重棒球場,4.2,270,棒球場,"25.0597318,121.4808961",新北市三重區水漾路一段300號
4,大魯閣棒壘球打擊場 新莊館,4.3,4,棒球場,"25.0317519,121.4321271",新北市新莊區中正路621號
5,大都會棒球場,4.3,178,棒球場,"25.065252,121.4699684",新北市三重區疏洪十二路
6,瓊林棒球場(C),3.5,4,棒球場,"25.015536,121.4388525",新北市新莊區二十一號越堤道
7,三鶯棒壘球場運動公園遊戲場,4.1,211,壘球場,"24.9351726,121.350637",新北市三峽區三鶯路29巷17號
8,秀朗橋棒球場,4.0,216,棒球場,"24.9834442,121.5242959",新北市新店區秀朗大橋自行車道旁
9,綠野運動廠-棒壘用品,4.6,38,棒球用品店,"24.988806,121.445068",新北市土城區中華路一段56巷7號2F
10,重新棒球場,4.3,212,棒球場,"25.0495784,121.4819661",新北市三重區中山路27號
11,一軍運動用品,4.6,181,體育用品店,"25.0659756,121.4809925",新北市三重區忠孝路三段46之2號
12,土城綜合棒壘網球場,4.5,50,體育館,"24.9795593,121.4548469",新北市土城區青仁路
13,新北市新莊網球場,4.8,46,網球場,"25.0406099,121.4503957",新北市新莊區和興街66號
14,凱盟棒壘專賣,4.8,115,運動用品店,"25.021077,121.468843",新北市板橋區民生路二段223號
15,Lee baseball club,5.0,28,主場,"25.0916457,121.4873394",新北市蘆洲區復興路410巷11-1號
16,星野球棒壘用品,4.3,58,戶外運動用品店,"24.9951894,121.5077112",新北市中和區安和路85號
17,NiceSports好的運動-帕菲克運動基地,4.9,323,棒球場,"24.990773,121.4903762",新北市中和區錦和路388號2樓
18,新月橋棒球場,4.2,184,棒球場,"25.0231275,121.4436692",新北市新莊區越堤道17號
19,林口棒球場,4.2,102,棒球場,"25.0780201,121.3779345",新北市林口區四維路114號
20,北城體育用品有限公司,4.3,21,運動用品店,"24.988106,121.4303539",新北市板橋區溪北路154號
21,湯揉大-WE Baseball Studio,4.9,17,體育用品店,"25.0933089,121.4745052",新北市蘆洲區民族路422巷48弄22之2號
22,八里國中棒球場,4.2,12,運動協會,"25.152115,121.4064252",新北市八里區八里大道7號
