id,name,star,comment,class,coordinate,address
1,NOKE 忠泰樂生活,4.3,1,購物中心,"25.0822446,121.5570625",台北市中山區樂群三路200號
2,酷冰Frozone,4.2,208,溜冰場,"24.9854913,121.4572293",新北市土城區金城路二段247-1號3 樓
3,直排輪溜冰場,4.2,44,主場,"24.9995062,121.5118583",新北市中和區
4,萬板大橋溜冰場,3.6,29,滾軸溜冰場,"25.029868,121.483291",新北市板橋區
5,江子翠溜冰場,4.3,200,滾軸溜冰場,"25.030493,121.482803",新北市板橋區
6,江子翠第二溜冰場,4.2,17,滾軸溜冰場,"25.0317755,121.4824759",新北市板橋區環河西路四段321號
7,輪式溜冰場,4.5,2,滾軸溜冰場,"25.0198502,121.4456482",新北市板橋區
8,滑冰世界運動用品,4.6,37,運動用品店,"25.0327252,121.475738",新北市板橋區文聖街11巷13號
9,蘆堤滑輪場,3.6,7,滾軸溜冰場,"25.0877679,121.4549129",新北市蘆洲區環堤大道128號
10,溜冰場,5.0,1,溜冰場,"24.9897557,121.5365989",新北市新店區
11,輪式溜冰場,4.3,6,滾軸溜冰場,"25.1756393,121.4476374",新北市淡水區淡江大學內部教學設施
12,追風滑輪場,4.2,115,滾軸溜冰場,"25.0787452,121.4563352",新北市五股區二重疏洪道
13,西盛滑輪溜冰場,5.0,2,滾軸溜冰場,"25.0229407,121.4425263",新北市新莊區242
14,崑崙活力廣場,3.7,22,滾軸溜冰場,"24.993739,121.4328664",新北市板橋區沙崙街9號
15,西盛環保公園-直排輪運動場,4.2,46,滾軸溜冰場,"25.0220163,121.4425683",新北市新莊區242
16,三重滑輪溜冰場,3.0,1,滾軸溜冰場,"25.0636079,121.4761902",新北市三重區241
17,直排輪教學台北新北-王者溜冰隊｜一對一、團體課、包班上課、小班制｜新店陽光公園直排輪免費試溜,5.0,76,運動協會,"24.9766434,121.5182456",新北市新店區安業街47巷
18,Emma溜冰隊,4.8,10,健身室,"24.9864196,121.4562921","號 No, No. 40學府路一段115巷土城區新北市236"
19,陽光運動公園直排輪競速場,3.6,16,滾軸溜冰會,"24.9766672,121.5208057",新北市新店區安業街65巷10弄8號
20,臺北小城滑輪場,3.2,13,滾軸溜冰場,"24.9475651,121.5004149",新北市新店區僑信路97巷
21,中國信託金融園區戶外滑冰場,4.4,557,溜冰場,"25.0591684,121.6155071",台北市南港區經貿二路168號
22,電光直排輪 鶯歌永福宮廣場,5.0,10,溜冰場,"24.9540355,121.3417792",新北市鶯歌區鶯桃路94巷36號
23,自強公園溜冰場,5.0,2,溜冰場,"24.9990344,121.4723305",新北市中和區莒光路200-3號
24,獵鷹直排輪溜冰隊-林口區,5.0,2,運動協會,"25.0806764,121.3792227",新北市林口區文化二路二段88巷36號2樓
25,玫瑰城溜冰場,0,0,滾軸溜冰場,"24.9493391,121.4952509",新北市新店區
