id,name,star,comment,class,coordinate,address
1,浮洲運動公園籃球場,4.4,97,籃球場,"25.0146762,121.4481635",新北市板橋區
2,新北市永和國民運動中心,4.3,4,綜合運動中心,"25.0031513,121.5241966",新北市永和區永利路250號
3,青和籃球場,4.1,59,籃球場,"24.9750798,121.4575451",新北市土城區
4,林口運動公園籃球場,3.0,4,籃球場,"25.0745959,121.3962402",新北市林口區244
5,新北市三重國民運動中心,4.0,1,籃球場,"25.0546254,121.4878983",新北市三重區集美街55號
6,戶外籃球場及排球場,3.2,5,籃球場,"25.0695427,121.4039673",新北市林口區
7,中環路籃球場,4.1,348,籃球場,"25.0413814,121.4421161",新北市新莊區中環路二段
8,板橋體育館,4.1,836,籃球場,"25.0133194,121.4568661",新北市板橋區中正路8號
9,運動公園籃球場,5.0,1,籃球場,"24.9805019,121.4667257",新北市土城區236
10,疏洪籃球場,4.5,93,籃球場,"25.063698,121.471612",新北市三重區疏洪十二路
11,新北市板橋國民運動中心,4.3,3,綜合運動中心,"25.022699,121.4577278",新北市板橋區智樂路6號
12,浮洲65橋下風雨籃球場,3.5,36,籃球場,"25.0062255,121.4516664",新北市板橋區板城路
13,僑愛籃球場,4.5,4,籃球場,"24.9442769,121.5000861",新北市新店區
14,淡水運動公園籃球場,4.2,64,籃球場,"25.1661906,121.4508838",新北市淡水區
15,球場,0,0,籃球場,"25.0637921,121.4713132",新北市三重區
16,新莊籃球場,4.4,42,籃球場,"25.0421885,121.451998",新北市新莊區
17,籃球場,5.0,3,籃球場,"25.0239267,121.4491974",新北市板橋區
18,太平運動公園籃球場,3.3,6,籃球場,"24.9592548,121.5325221",新北市新店區231
19,籃球場,5.0,1,體育設施,"25.0089185,121.4913628",新北市中和區
20,快速道路下籃球場,4.1,87,籃球場,"24.9943046,121.5351649",新北市新店區
21,恐龍主題公園籃球場,4.1,36,籃球場,"25.0081257,121.4939912",新北市中和區
22,新海籃球場,4.0,23,籃球場,"25.0242965,121.4494569",新北市板橋區環河道路17號
23,土城綜合體育場風雨籃球場,3.2,26,籃球場,"24.9850936,121.4568608",新北市土城區裕民路193-1號
24,新埔國民小學體育館/籃球館(板新籃球館),4.7,31,體育館,"25.0267609,121.4632305",新北市板橋區四維路177巷4弄23號
25,新北市淡水國民運動中心,4.3,2,綜合運動中心,"25.1873766,121.4425921",新北市淡水區中山北路二段381巷2號
26,新北市樹林國民運動中心,4.2,2,綜合運動中心,"25.0041909,121.423351",新北市樹林區中正路188-6號
27,籃球場(二重自行車租借站旁),4.3,51,健身室,"25.0668075,121.469088",新北市三重區
28,錦和運動公園籃球場,4.3,19,籃球場,"24.992576,121.4875759",新北市中和區
29,環保公園 籃球場,4.4,9,籃球場,"25.0432835,121.4740571",新北市三重區
30,永和運動中心漆彈場,4.6,8,漆彈射擊場,"25.0031865,121.5244217",新北市永和區永利路250號頂樓
31,新北市新店國民運動中心,4.0,897,綜合運動中心,"24.9671774,121.5424722",新北市新店區北新路一段88巷12號
32,江子翠籃球場,4.0,2,籃球場,"25.0357471,121.468224",新北市板橋區220
33,新北市蘆洲國民運動中心,4.3,2,綜合運動中心,"25.0911212,121.4620618",新北市蘆洲區長樂路235-1號
34,新五籃球場,4.3,35,籃球場,"25.0815187,121.440308",新北市五股區新五路二段252號
35,新北市泰山國民運動中心,4.3,2,綜合運動中心,"25.0559747,121.4345916",新北市泰山區全興路167號
