id,name,star,comment,class,coordinate,address
1,蘆洲羽球館,4.2,354,羽毛球場,"25.0776065,121.4757748",新北市蘆洲區信義路34巷111號
2,羽人碼頭羽球工坊,4.8,91,運動用品店,"25.0261067,121.4123984",新北市新莊區新北大道七段720號1樓
3,三蘆羽球館,4.4,249,羽毛球場,"25.0683365,121.4726908",新北市三重區中正北路560巷100弄17-1號
4,我家羽球館,4.3,204,羽球館,"25.0034046,121.4506926",新北市板橋區大觀路二段1巷60-5號
5,羽山球人羽球工坊 (預約制),5.0,2,運動用品店,"24.9810014,121.5375581",新北市新店區建國路219號
6,綠寶石運動公園-羽球場,3.9,15,羽毛球場,"25.0191526,121.5123155",新北市永和區
7,動感羽球館,4.5,112,羽球館,"25.0130642,121.4492033",新北市板橋區大觀路一段28巷125-1號
8,舊國管羽球場（中和區公所羽球館）,4.0,263,羽毛球場,"24.9996898,121.4763618",新北市中和區民安街135號
9,羽球世家體育用品社,4.0,250,運動用品店,"24.9374906,121.373402",新北市三峽區復興路80巷2號
10,樂穎羽球館,4.0,143,羽毛球場,"25.0294989,121.441491",新北市新莊區新樹路69-68號2樓
11,中和羽道館,4.3,349,羽毛球場,"24.9870549,121.4859043",新北市中和區圓通路437-7號
12,職人治羽運動生活館,4.2,5,運動用品店,"25.012715,121.449605",新北市板橋區大觀路一段28巷119號之3
13,板橋羽鞋羽球館,4.5,89,羽毛球會,"25.012715,121.449605",新北市板橋區板橋大觀路一段28巷119號之3
14,弘揚體育,4.4,122,運動用品店,"25.0158453,121.4566057",新北市板橋區中正路147號
15,聯友羽球館,4.4,325,羽毛球場,"25.064279,121.455833",新北市新莊區五工五路2之1號4樓
16,偉勁國際體育(網羽球用品),4.7,146,體育用品店,"25.0726416,121.4976259",新北市三重區龍門路105號
17,環宇羽球館,3.3,47,羽毛球場,"24.9976486,121.4892629",新北市中和區錦和路140號
18,飛颺羽球館,4.8,130,運動協會,"25.0080312,121.4309048",新北市新莊區西盛里民安西路460巷4號
19,GO Home羽球用品店,5.0,7,體育用品店,"25.0033602,121.450788",新北市板橋區大觀路二段1巷60-5號
20,五峰山戶外羽球場,4.7,15,羽毛球場,"24.9649973,121.5445925","號, No. 76新坡一街新店區新北市231"
21,快羽會館,4.7,72,羽球館,"25.0636384,121.4365063",新北市泰山區文化街53號
22,奧創體育板橋館,3.9,71,運動協會,"25.0208595,121.454136",新北市板橋區中正路375巷1號
23,健康羽球館,4.6,156,運動用品店,"24.963355,121.440182",新北市土城區承天路71巷3號
24,羽雁體育羽球專賣-土城店,5.0,118,運動用品店,"24.9859504,121.4517174",新北市土城區裕民路146號2樓
25,葉羽運動球館,4.9,14,羽球館,"25.0116606,121.4296475",新北市新莊區西盛街395巷46號
26,北泰運動用品,4.6,250,運動用品店,"25.0090103,121.5143862",新北市永和區永和路一段184號
27,新北市土城國民運動中心-羽球場,4.5,2,運動協會,"24.9854913,121.4572293",新北市土城區金城路二段247-1號
28,僑中羽球館,4.0,70,羽球館,"25.015312,121.4449801",新北市板橋區僑中ㄧ街 124巷31-2號
29,寰宇羽球中心,3.6,76,羽球館,"24.9976584,121.4895397",新北市中和區錦和路77巷2號
30,向陽羽球館,4.5,82,羽毛球場,"25.0062922,121.4831171",新北市中和區中山路二段568巷20弄4-1號
31,無限羽球概念店,4.8,22,體育用品店,"24.9921673,121.4257702",新北市樹林區四德街27號
32,一鳴驚人體育用品社,4.6,183,運動用品店,"24.9995825,121.4788513",新北市中和區民安街61號
33,富羽體育用品,5.0,25,體育用品店,"25.0316193,121.4325018",新北市新莊區福營路143號
34,頂尖體育用品,4.7,124,體育用品店,"25.0631034,121.4891016",新北市三重區中正北路8號
35,TBDC台灣羽球發展中心,5.0,1,羽毛球場,"25.0753511,121.3570375",新北市林口區南勢四街302-8號
36,立羽會館,4.4,22,羽毛球會,"25.0604383,121.442342",新北市泰山區中港南路166-7號
37,Js劍新羽球館,4.2,175,羽球館,"25.060472,121.6483301",新北市汐止區新台五路一段96號
38,騰飛運動用品館,4.0,14,運動用品店,"24.9960765,121.5200625",新北市中和區自強路6號
39,楓育羽球館,4.8,116,主場,"25.0109468,121.4206624",新北市樹林區俊英街219巷45弄1-1號號
40,YoYo羽球蘆洲館,4.6,47,運動協會,"25.0925745,121.4645061",新北市蘆洲區仁愛街216-1號
41,秘密基地,4.2,64,羽毛球場,"25.01255,121.4503577",新北市板橋區大觀路一段28巷112號之2
42,鶯歌羽球館,4.0,7,健身室,"24.9444777,121.3512338",新北市鶯歌區環河路60-1號
43,"美普特超鵟羽球用品,（球拍，球袋，球鞋，球拍拉線）團體運動服飾，（有賣興南國小運動服）",5.0,11,運動服裝店,"24.9873951,121.5093808",新北市中和區興南路一段117巷12號
44,露天羽球場,4.0,6,羽毛球場,"25.031116,121.4104918",新北市新莊區壽山路59號
45,捷比運動時尚館,0,0,運動用品店,"24.991175,121.425277",新北市樹林區博愛一街7號
46,寰羽體育用品社-網羽球專賣店 板橋店,4.5,101,網球用品店,"25.0270534,121.4760443",新北市板橋區雙十路二段79號1樓
47,三峽長青羽球館,3.9,150,羽球館,"24.9348128,121.3671293",新北市三峽區中山路69號
48,飛騰體育用品,4.1,32,運動用品店,"25.0115075,121.4565205",新北市板橋區北門街62之2號
49,新北市永和國民運動中心,4.3,4,綜合運動中心,"25.0031513,121.5241966",新北市永和區永利路250號
50,泰羽羽球館,5.0,23,羽球館,"25.0619461,121.4395492",新北市泰山區新五路一段106-12號
51,力行體育館,3.8,129,健身室,"25.0054454,121.5216334",新北市永和區永亨路80巷2號
52,新北市新莊國民運動中心,4.3,3,健身室,"25.0396395,121.4477684",新北市新莊區公園路11號
53,羚躍體育休閒用品社,4.3,84,體育用品店,"25.0863183,121.4747612",新北市蘆洲區復興路64號
54,立哲體育用品店,3.2,94,運動用品店,"25.0701137,121.3671155",新北市林口區文化二路一段100號
55,吉茗羽球運動用品,4.8,45,運動用品店,"24.956577,121.349771",新北市鶯歌區國慶街9號
56,勁丰羽球館,4.6,161,羽球館,"24.944455,121.351224",新北市鶯歌區環河路60-1號
57,動態羽球館,4.4,316,羽球館,"25.0851724,121.3759865",新北市林口區中山路759號
58,山水體育用品社,4.2,128,體育用品店,"24.9677675,121.5406548",新北市新店區中華路16號一樓
59,羽雁汐科體育,5.0,149,運動用品店,"25.0647981,121.6568389",新北市汐止區水源路一段84號
60,M5俱樂部,4.4,66,羽毛球會,"25.0012573,121.428245",新北市樹林區千歲街105-5號
61,新羽力羽球俱樂部,4.8,76,運動協會,"24.9576164,121.5035561",新北市新店區安康路二段295-3號
62,亞迪特羽球學苑,5.0,12,羽球館,"25.0573287,121.4380253",新北市泰山區楓江路46巷108號後棟
63,新北市三重國民運動中心,4.0,1,羽毛球場,"25.0546254,121.4878983",新北市三重區集美街55號
64,活力羽球館,4.4,20,羽毛球場,"25.0759008,121.4363751",新北市五股區新五路二段97-9號
65,新友社體育用品有限公司,3.0,1,運動用品店,"25.0312643,121.4695496",新北市板橋區銘傳街76巷3號
66,(Not Open-整修中)新北市中和國民運動中心,4.2,3,綜合運動中心,"24.9925927,121.4870792",新北市中和區錦和路和城路一段350之2號入口：
