id,name,star,comment,class,coordinate,address
1,臺北市大安運動中心,4.2,5,健身室,"25.020739,121.545757",台北市大安區辛亥路三段55號
2,臺北市松山運動中心,4.0,2,綜合運動中心,"25.0485938,121.5503847",台北市松山區敦化北路1號
3,中正運動中心,4.2,3,綜合運動中心,"25.0384552,121.519462",台北市中正區信義路一段1號
4,臺北市信義運動中心Taipei Xinyi Sports Center,4.1,2,綜合運動中心,"25.0316985,121.566768",台北市信義區松勤街100號
5,臺北萬華運動中心,4.1,2,綜合運動中心,"25.0474576,121.5068673",台北市萬華區西寧南路6-1號
6,台北運動健身中心 長安店,4.9,1,健身室,"25.0497094,121.5233055",台北市中山區長安東路一段21號B1
7,推動力運動空間,4.5,11,健身俱樂部,"25.0253299,121.5415586",台北市大安區和平東路二段163號1樓
8,臺北市大同運動中心,4.0,1,綜合運動中心,"25.065371,121.5161993",台北市大同區大龍街51號
9,臺北市中山運動中心,4.0,2,健身室,"25.0548433,121.5213449",台北市中山區中山北路二段44巷2號
10,臺北市南港運動中心 Taipei Nangang Sports Center,4.0,2,健身室,"25.0487933,121.581875",台北市南港區玉成街69號
11,臺北市內湖運動中心 Taipei Neihu Sports Center,4.0,884,健身室,"25.0781567,121.5747649",台北市內湖區洲子街12號
12,台北運動健身中心,4.9,1,健身室,"25.0581828,121.5251264","B1, No. 29號民生東路一段中山區台北市104"
13,臺北市極限運動訓練中心,4.3,398,滑板公園,"25.0518704,121.6073623",台北市南港區忠孝東路七段382號
14,台北市體育運動教練職業工會,3.1,16,私人教練,"25.0247848,121.5470303","B1, No. 11號和平東路三段大安區台北市106"
15,舞動陽光-博愛國小運動中心,4.2,181,體育館,"25.0363244,121.5709566",台北市信義區松仁路95巷20號
16,伊格運動,5.0,143,教育顧問,"25.0513946,121.555723",台北市松山區南京東路四段130號B1
17,臺北市體育總會,3.7,6,綜合運動中心,"25.0487102,121.55107",台北市松山區敦化北路3號168室
18,舞動陽光-師大附中運動中心,4.0,100,綜合運動中心,"25.0360864,121.5400628",台北市大安區信義路三段111巷143號
19,臺北市北投運動中心,4.1,2,綜合運動中心,"25.1165007,121.5098316",台北市北投區石牌路一段39巷100號
20,台北市青年公園運動園區,4.3,9,綜合運動中心,"25.0233641,121.5069217",台北市萬華區水源路199號
21,Artemis 一休運動基地,4.8,54,健身室,"25.0384602,121.5336058",台北市大安區仁愛路三段9號1 樓
22,Waypoint 作伙CrossFit（WP ZouHui CrossFit）,4.6,146,健身室,"25.0250194,121.5383874",台北市大安區和平東路二段46巷11號
23,美力適能客製化運動教室Melody Fitness,4.8,19,健身室,"25.0334487,121.5500708",台北市大安區信義路四段151號7號樓之三
24,PB Sport 健身房,4.8,76,健身室,"25.0328991,121.5274606",台北市大安區金山南路二段33號金山停車場側邊巷子B1
25,台北壁球中心TaipeiSquashCenter,4.4,46,健身室,"25.0598526,121.5645828",台北市松山區民生東路五段171號海 華 大廈號 B2
26,59FITNESS 客制化運動空間,4.5,69,健身室,"25.0312022,121.5492787",台北市大安區敦化南路二段59號1F~B1
27,HiFIT 運動空間,4.9,29,健身室,"25.0433357,121.5440383","f, No. 125號復興南路一段大安區台北市106"
28,博嘉運動公園,4.2,476,綜合運動中心,"25.0007616,121.5754092",台北市文山區木柵路四段159巷16號
29,體育客和平店,4.4,882,健身室,"25.021042,121.5563714",台北市信義區和平東路三段333號
30,FitMania健身狂潮- 信義世貿館,4.6,202,健身室,"25.0328535,121.5581869",台北市信義區信義路四段456號B1
31,展望運動建安國小藝術教學大樓,4.1,23,綜合運動中心,"25.0293539,121.5461699",台北市大安區大安路二段99號
32,臺北社企館 / 陽光活力中心八德館,4.9,74,綜合運動中心,"25.0453041,121.5381856",台北市中山區八德路二段174巷28號6樓
33,唯爾運動 WellSpace,5.0,301,健身室,"25.0518323,121.5553266",台北市松山區南京東路四段137號號7樓
34,超越心動力體適能運動空間,4.7,36,健身室,"25.0480564,121.5521328",台北市松山區八德路三段36號5樓
35,體線運動,4.7,26,教育中心,"25.0513182,121.5576489",台北市松山區南京東路四段186號六樓之9
36,運動皮質區 體適能訓練所 Motor Cortex,5.0,20,健身室,"25.0259277,121.533975",台北市大安區和平東路一段274之1號4樓
37,舞動陽光-華江高中運動中心,4.0,95,綜合運動中心,"25.0285424,121.4963425",台北市萬華區西藏路213號
38,新創智慧健身,4.3,121,健身室,"25.0281715,121.5437164",台北市大安區復興南路二段157號號 b1
39,惠友運動,5.0,88,運動用品店,"25.0281516,121.5437407",台北市大安區復興南路二段157號
40,士林運動中心,4.2,2,綜合運動中心,"25.0894226,121.5215623",台北市士林區士商路1號
41,Curves 台大公館店 | 女性30分鐘環狀運動,4.4,83,健身室,"25.0145761,121.53419",台北市中正區羅斯福路四段64號4樓
42,健身計畫 Project Fit｜分鐘計費｜自由教練教學免場租費｜悠遊卡/一卡通刷卡進出場,3.8,216,健身室,"25.0318129,121.5438808",台北市大安區復興南路二段27號B2
43,妮飛大安健身空間,4.8,189,健身室,"25.0291708,121.5433037",台北市大安區復興南路二段130之2號3樓
44,成德國中運動中心,4.2,345,綜合運動中心,"25.0446219,121.5878964",台北市南港區東新街108巷23號
45,Fun Fitness 運動旅程公館館,4.8,441,健身室,"25.0167533,121.5319406",台北市中正區羅斯福路三段272號7樓
46,DR.GYM 運動醫療訓練中心,4.8,58,健身室,"25.0351496,121.5330041",台北市大安區新生南路一段155號
47,好習慣運動教室,4.9,178,健身俱樂部,"25.0566486,121.5444333",台北市松山區復興北路217號
48,TMMA台北格鬥運動館 古亭館,5.0,304,拳擊館,"25.0275294,121.5258961",台北市大安區金山南路二段222號B1
49,World Gym世界健身俱樂部 台北光復店Sport,4.6,1,健身室,"25.0410878,121.5575167",台北市大安區忠孝東路四段330號B1
50,Top Gym運動空間-和平店 (台北 六張犁),5.0,4,健身室,"25.0242504,121.5518625",台北市大安區和平東路三段122號
51,好習慣運動教室 北車京站店,5.0,112,健身室,"25.0508968,121.5165903",台北市大同區長安西路152號號1樓
52,TMMA台北格鬥運動館 忠孝館,5.0,1,泰拳拳擊館,"25.0402419,121.5451037",台北市大安區仁愛路四段27巷22號B1
53,平衡運動空間 PH Fitness,5.0,11,健身室,"25.0411955,121.5696775",台北市信義區忠孝東路五段201號2樓
54,GYMEFIT Ninja,4.9,121,健身室,"25.048408,121.569123",台北市信義區基隆路一段25號
55,內湖運動公園,4.2,1,公園,"25.067763,121.573841",台北市內湖區舊宗路二段2號
56,BeeFit蜂運動古亭教室|運動教室|健身房|健身團課|健身一對一教練,4.9,14,健身室,"25.027983,121.5227768",台北市大安區羅斯福路二段35巷13號
57,Pulse Gym 建國店,4.6,335,健身室,"25.0504118,121.5360961",台北市中山區建國北路一段96號
58,陪你健身預約制運動空間,5.0,18,健身室,"25.0212387,121.5192452",台北市中正區水源路91號1樓
59,臺北體育館,4.3,2,體育館,"25.0513025,121.5520716",台北市松山區南京東路四段10號
60,BALANCE FITNESS運動空間,4.6,38,健身室,"25.0292653,121.5191848",台北市中正區福州街11-7號
61,Force Fitness 運動空間 - 中正店,4.6,141,健身俱樂部,"25.0299438,121.5183082",台北市中正區南昌路一段123號 2號樓之2
62,好時光女生運動樂園 The GTFP Ohana (大安),4.9,161,健身室,"25.0368504,121.5438413",台北市大安區復興南路一段249號4樓
63,W.T運動空間南門店,5.0,3,健身室,"25.0316586,121.5193834",台北市中正區羅斯福路一段61號4樓
64,World Gym世界健身俱樂部 台北大直店Sport,4.6,1,健身室,"25.0843794,121.55968",台北市中山區堤頂大道二段588號
