id,name,star,comment,class,coordinate,address
1,排球場,4.6,61,排球場,"25.0143115,121.542834",台北市大安區基隆路四段43號
2,臺大排球場,4.5,107,排球場,"25.0193256,121.5365741",台北市大安區羅斯福路四段一號體育室
3,排球場,3.7,3,排球場,"25.0845868,121.5446878",台北市中山區
4,北醫排球場,4.6,24,排球場,"25.0245732,121.5615176",台北市信義區110
5,王樣運動用品,4.1,50,運動用品店,"25.082092,121.5478899",台北市中山區北安路595巷12號 號 1樓
6,排球場,5.0,1,大學,"25.0231632,121.5450421",台北市大安區
7,排球場,0,0,體育設施,"25.0673543,121.5204293",台北市中山區
8,網排球場,0,0,體育設施,"25.0584206,121.5426201",台北市中山區民生東路三段67號
9,美堤河濱公園排球場,4.2,46,排球場,"25.0767918,121.5521361",台北市中山區
10,耀馬體育用品,3.9,110,運動用品店,"25.0200139,121.533679",台北市大安區新生南路三段62號
11,瑠公國中排球場,5.0,2,排球場,"25.0369539,121.5866477",台北市信義區福德街221巷15號
12,天晴體育用品社,5.0,63,體育用品店,"25.0369771,121.5037525",台北市萬華區昆明街279號一樓
13,飛揚體育用品社大安店,4.3,139,運動用品店,"25.0202115,121.5474583",台北市大安區基隆路三段18號
14,歐格運動用品,4.4,114,運動用品店,"25.0579331,121.5534271",台北市松山區民生東路四段90-92號1樓
15,大育體育用品有限公司,4.5,33,運動用品店,"25.0308651,121.5535866",台北市大安區通化街38巷20號1樓
16,排球&籃球場,0,0,體育館,"25.0846779,121.5776343",台北市內湖區環山路二段100號S201 室
17,政大五期排球場,0,0,排球場,"24.9814229,121.5777166",台北市文山區指南路三段64號
18,建國中學排球場,0,0,排球場,"25.0301575,121.5132298",台北市中正區和平西路二段57號
19,排球場,5.0,1,排球場,"25.1038661,121.5150433",台北市北投區文林北路75巷77號
20,舞動陽光-博愛國小運動中心,4.2,181,體育館,"25.0363244,121.5709566",台北市信義區松仁路95巷20號
21,舞動陽光-博愛國小運動中心,4.2,181,體育館,"25.0363244,121.5709566",台北市信義區松仁路95巷20號
22,實踐大學體育館,4.4,332,綜合運動中心,"25.0845161,121.544842",台北市中山區大直街70號
23,三陽社,4.8,33,運動用品店,"25.0626919,121.5133758",台北市大同區重慶北路二段196號
24,飛揚體育用品社,4.2,297,運動用品店,"25.088038,121.5217669",台北市士林區承德路四段212號
25,國立臺北科技大學 學生運動場,4.1,173,田徑場,"25.042458,121.537521",台北市大安區建國南路一段105號
26,中華民國排球協會,1.0,1,協會或機構,"25.0497791,121.539721",台北市中山區朱崙街20號
27,北冠一級磅運動用品店,4.9,119,體育用品店,"25.0788567,121.5802897",台北市內湖區內湖路二段54-2號
28,亞洲體育用品,4.7,42,體育用品店,"25.049447,121.521194",台北市中山區中山北路一段98號
29,摩曼頓企業股份有限公司,3.0,1,運動用品店,"25.0527485,121.5206836",台北市中山區南京西路15號
30,倍斯特體育,0,0,戶外運動用品店,"25.049981,121.5788369",台北市松山區八德路四段758號3樓
31,政治大學四期排球場,0,0,排球場,"24.9816514,121.5781667",台北市文山區環山二道35-1號
32,總逸運動用品店,4.6,60,運動用品店,"25.0721626,121.5144809",沒有地址
33,國立陽明交通大學陽明校區山頂排球場,3.8,12,排球場,"25.1252111,121.5136579",台北市北投區
34,文瑞體育用品有限公司,4.4,116,運動用品店,"25.0419619,121.513033",台北市中正區重慶南路一段114號
35,詹士運動休閒用品(士林店),4.2,130,運動用品店,"25.0894508,121.5231779",台北市士林區基河路175號
36,汀沃克有限公司,4.4,5,運動用品店,"25.0359056,121.547862",台北市大安區東豐街66號3樓
37,臺北市體育總會,3.7,6,綜合運動中心,"25.0487102,121.55107",台北市松山區敦化北路3號168室
38,台科體育館,4.3,130,體育館,"25.0142001,121.5432237",台北市大安區基隆路四段43號
39,舞動陽光有限公司,2.9,27,健身室,"25.0648806,121.5161576",台北市大同區大龍街51號
40,OIN排球基地,4.7,27,運動協會,"25.0938236,121.4806108",新北市蘆洲區復興路323巷63號
41,名屋體育用品店,4.2,57,運動用品店,"25.0626963,121.5325886",台北市中山區民權東路二段101號
42,Momentum摩曼頓花花 NIKE Jordan 籃球體驗店,4.0,126,運動用品店,"25.043495,121.50766",台北市萬華區峨眉街11號
43,詹士運動休閒用品(民族店),4.1,158,戶外運動用品店,"25.068282,121.523795",台北市中山區民族東路8號
44,哈林運動世界-九順店,3.4,51,運動用品店,"25.0505417,121.5746944",台北市松山區饒河街137號
45,捷利體育用品有限公司,4.2,594,戶外運動用品店,"25.0932297,121.5193337",台北市士林區中正路426號
46,寶頡體育用品,5.0,1,運動用品店,"24.9878253,121.5619185",台北市文山區興隆路四段105巷29號1樓
47,長弓體育用品,4.5,208,運動用品店,"25.0143675,121.5334565",台北市中正區汀州路三段205號
48,上和運動用品有限公司,0,0,運動用品店,"25.048444,121.5425755",台北市中山區長安東路二段189之6號
49,上和運動用品有限公司,0,0,運動用品店,"25.048444,121.5425755",台北市中山區長安東路二段189之6號
