id,name,star,comment,class,coordinate,address
1,獅子王桌球(光復館),4.9,228,乒乓球設施,"25.0360308,121.5573024",台北市大安區光復南路438號
2,知其可桌球運動俱樂部,4.3,6,乒乓球會,"25.0283833,121.5288348","b1, No. 150號潮州街大安區台北市106"
3,東門桌球-DongMen Table Tennis 乒乓球 兒童｜成人課程 場地租借,4.7,41,乒乓球設施,"25.0360168,121.5278594","B1, No. 121號金山南路一段中正區台北市100"
4,勝利桌球,4.4,36,乒乓球設施,"25.0298293,121.5201094",台北市中正區福州街1號台灣 號 2 樓
5,長城桌球體育用品社,4.8,595,運動用品店,"25.026105,121.522195",台北市中正區南昌路二段137號
6,國語日報桌球教室,5.0,204,乒乓球設施,"25.0295714,121.5201757",台北市中正區福州街2號11樓
7,Let’s Play 善導寺店X乒乓世界 STIGA桌球用品專賣店,4.5,169,乒乓球用品店,"25.0404193,121.5259366",台北市中正區杭州南路一段63號63號。B1 B1
8,兒童桌球教學教室·乒乓島樂園,4.9,221,乒乓球設施,"25.0341088,121.5527308",台北市大安區安和路一段137號
9,乒乒乓乓桌球旗艦館（兒童桌球＆成人桌球團體班）,4.9,258,乒乓球設施,"25.0511477,121.5668481",台北市松山區南京東路五段272號2樓
10,獅子王桌球(光復館),4.9,228,乒乓球設施,"25.0360308,121.5573024",台北市大安區光復南路438號
11,開封桌球館,4.7,27,乒乓球設施,"25.04612,121.5112114",台北市中正區博愛路36號B1樓
12,仁愛乒乓球教室,4.7,89,乒乓球設施,"25.0337094,121.5503335",台北市大安區安和路一段112巷26號
13,國榮桌球 古亭館,4.5,26,乒乓球設施,"25.0265352,121.5203973",台北市中正區和平西路一段34號
14,i-SPORTS乒乓客桌球教室,4.9,23,乒乓球設施,"25.080465,121.550573",台北市中山區北安路588巷30弄18號B1
15,國榮桌球 信義館,4.7,41,乒乓球設施,"25.0361878,121.5572735",台北市大安區光復南路432號2樓
16,天生好手桌球訓練中心,5.0,16,乒乓球會,"25.0285068,121.5438243",台北市大安區復興南路二段151巷1號B1樓
17,乒運動桌球館-Ping Sport table tennis club 兒童桌球 成人桌球,5.0,61,運動用品店,"24.9827633,121.5371506",新北市新店區民權路101號b1
18,大安桌球教室-全民桌訓,4.8,71,乒乓球設施,"25.0433884,121.554082",台北市大安區延吉街95號B1
19,媽媽桌球俱樂部 MaMa Pingpong 乒乓球教學練習 卓球Table tennisピンポン,4.6,85,乒乓球設施,"25.040683,121.529433",台北市中正區金山南路一段17 B1號
20,延吉桌球,4.6,61,主場,"25.0435074,121.5545685",台北市大安區延吉街131巷1弄30號號
21,亞信乒乓,4.7,34,乒乓球設施,"25.0286352,121.538614",台北市大安區建國南路二段151巷16號
22,獅子王桌球(南京館),4.9,161,乒乓球設施,"25.0515477,121.5480404",台北市松山區南京東路三段346號 4號樓之5
23,古亭桌球練功坊 (原華強桌訓）,4.5,102,乒乓球設施,"25.028739,121.520855",台北市中正區羅斯福路二段12號B1
24,國榮桌球 行天宮館,4.6,71,乒乓球設施,"25.0602099,121.5334756",台北市中山區松江路283號3樓
25,士東桌球,4.4,41,乒乓球設施,"25.1085896,121.528276",台北市士林區德行東路109巷31號
26,SUPER PING PONG 乒乓球教室,5.0,6,乒乓球會,"25.0232927,121.5178412",台北市中正區廈門街113巷6號1 樓
27,唐橋桌球,4.0,151,運動用品店,"25.046844,121.533286",台北市中山區松江路23之2號
28,JSI就是愛桌球,4.6,20,乒乓球設施,"25.0816372,121.5747691",台北市內湖區內湖路一段629巷40弄4號
29,大臺北桌球會館,4.6,31,乒乓球設施,"25.0512896,121.5598367",台北市松山區南京東路五段46號B1
30,ISON愛上乒乓,5.0,184,乒乓球設施,"25.0649896,121.5265029",台北市中山區農安街43號四樓之二
31,巨榮桌球,0,0,乒乓球設施,"25.041628,121.554882",台北市大安區106忠孝東路四段293號4樓
32,Raiders奇兵桌球,5.0,23,乒乓球會,"25.0784279,121.5974901",台北市內湖區康寧路一段282號B1
33,國榮桌球 大安館,4.8,20,主場,"25.0257142,121.5382306",台北市大安區和平東路二段49-1號號 B1
34,臺北市身障桌球協會(訓練場地),5.0,6,乒乓球設施,"25.0660098,121.5156575",台北市大同區昌吉街55 號二 樓蘭州 市場2 樓 217 室
35,獅子王桌球(內湖館),5.0,226,乒乓球設施,"25.0712162,121.6098829",台北市內湖區康寧路三段54-9號B1
36,仁澤桌球學苑,5.0,13,乒乓球設施,"25.0448226,121.6173171",台北市南港區研究院路二段61巷15號冠德中研全聯福利中心B1
37,五常桌球教室,0,0,乒乓球設施,"25.0666534,121.5416919",台北市中山區龍江路429巷10號4樓
38,南門桌球訓練中心,4.7,36,健身室,"25.0300203,121.5179764",台北市中正區南昌路一段114號號 b1
39,乒乓王國桌球運動館,5.0,4,乒乓球設施,"25.0150003,121.4723154",新北市板橋區中山路二段18號2 樓
40,仁愛桌球教室_莊敬校,4.9,17,健身室,"25.0278188,121.56376","B1, No. 334號莊敬路信義區台北市110"
41,和信桌球訓練中心,4.7,71,乒乓球會,"25.0519582,121.5507778",台灣松山區南京東路四段45號
42,小蜜蜂乒乓,5.0,11,乒乓球設施,"25.041586,121.578741",台北市信義區忠孝東路五段509號三樓
43,南港桌球教室,4.9,54,乒乓球設施,"25.0451224,121.5857889",台北市南港區成福路26巷1弄4號
44,內湖焚化爐附設桌球室,4.3,29,乒乓球設施,"25.0623571,121.6044568",台北市內湖區安康路290號
45,旋風乒乓桌球教室,5.0,30,乒乓球設施,"25.0838814,121.5928354",台北市內湖區內湖路二段466號464號
46,永信乒乓-專業桌球運動館,4.9,47,乒乓球用品店,"25.0152731,121.4567262",新北市板橋區中正路102號2樓
47,合歡山育樂用品社,4.1,9,運動用品店,"25.0451246,121.5323342",台北市中正區市民大道三段8號2樓9室
48,穜欣桌球 Seed Table Tennis,4.0,41,乒乓球設施,"25.1191963,121.5277724",台北市士林區天母西路13巷9號
49,小王子桌球教室,4.8,30,乒乓球會,"25.0457853,121.5717073",台北市信義區永吉路179號2樓
50,Dino乒乓綜合學院,4.8,41,乒乓球設施,"25.1141784,121.5298708",台北市士林區中山北路六段776巷82號b1
51,冠軍桌球,5.0,5,乒乓球設施,"25.0092957,121.5145012","號4樓, No. 206永和路一段永和區新北市23445"
52,欣宏桌球館,5.0,21,運動協會,"25.011718,121.4841119",新北市中和區中板路21號5樓
53,好球乒乓Nice Ball Ping-Pong,4.9,18,乒乓球會,"25.0576448,121.563172",台北市松山區三民路107巷7號
54,乒球旗艦館,4.9,141,乒乓球設施,"25.0071792,121.5172048",新北市永和區中正路608號
55,環東桌球用品店,4.6,20,運動用品店,"25.0163202,121.5195866",新北市永和區環河東路一段82號
56,國拓桌球,4.6,13,乒乓球設施,"25.0030188,121.5197839","樓, No. 214號秀朗路一段永和區新北市234"
57,巨光運動器材-撞球桌.乒乓球桌,5.0,1,運動用品店,"24.9915673,121.5201541",新北市中和區景平路100之1號
58,松育桌球-行天宮桌球/台北桌球教室/台北桌球教學/台北兒童桌球/中山區桌球教室/中山區桌球教學,4.9,16,主場,"25.0622375,121.5343974",台北市中山區民權東路二段148號4樓
59,永和桌球練功坊,4.9,7,乒乓球設施,"25.0072094,121.5164914",新北市永和區福和路299號
60,乒球 乒乓運動館,5.0,15,乒乓球會,"25.0100288,121.5164216",新北市永和區中正路702巷2號B1
61,台科體育館,4.3,130,體育館,"25.0142001,121.5432237",台北市大安區基隆路四段43號
62,薪動動起來健康服務處,3.3,12,運動用品店,"25.0634404,121.5660353",台北市中山區撫遠街21-.3號
63,巨力乒乓-專業乒乓球教學 /個人班.團體班/ 兒童桌球班 / 成人班 / 桌球積分賽 / 球檯租用 / 體育用品,4.9,166,乒乓球會,"25.0642962,121.5005763",新北市三重區中央北路26號3樓
64,國榮桌球 永和頂溪館,4.8,31,乒乓球設施,"25.0110535,121.5146021",新北市永和區永和路二段59號2樓
65,松育桌球-景美桌球/台北桌球教室/台北桌球教學/台北兒童桌球/文山區桌球教室/文山區桌球教學,5.0,6,主場,"24.995891,121.546876",台北市文山區景華街113號B1
66,活力乒乓訓練中心,4.6,7,乒乓球設施,"25.0718972,121.5157303",台灣大同區酒泉街56號
67,桌球練功坊（三重館）,4.6,25,運動協會,"25.061903,121.4976193",新北市三重區重新路二段70號B2
68,立達可桌球訓練中心,4.8,13,培訓中心,"25.0836904,121.575583",台北市內湖區港華街51巷10號
69,環球乒乓-中和區桌球館 競技乒乓 親子桌球 桌球訓練 板橋區專業桌球訓練 桌球教練推薦,5.0,7,乒乓球設施,"25.0059806,121.4763025",新北市中和區中山路三段112號2樓
70,波爾桌球用品專賣店,5.0,4,乒乓球用品店,"24.9945369,121.519832",新北市中和區自強路60號
71,臺北市大安運動中心,4.2,5,健身室,"25.020739,121.545757",台北市大安區辛亥路三段55號
72,樂活桌球景美館,4.5,8,公司辦公室,"24.9917526,121.5412069",台北市文山區景文街42號五樓
73,動力學工作室 運動與學習中心,5.0,5,乒乓球設施,"25.0090888,121.5207549",新北市永和區竹林路203號2樓
74,玫瑰公園桌球室,4.0,1,運動協會,"25.0234445,121.455758",新北市板橋區中正路372巷
75,威力桌球,4.6,75,運動用品店,"24.9768781,121.5427002",新北市新店區北新路二段177-3號2樓
76,乒夢 Persist 乒乓球館,4.9,266,乒乓球會,"25.064448,121.502051",新北市三重区福德北路12-2號號B1
77,飛揚體育用品社大安店,4.3,139,運動用品店,"25.0202115,121.5474583",台北市大安區基隆路三段18號
78,乒博桌球館,4.9,159,乒乓球會,"25.0027335,121.5207776",台北市大安區基隆路三段18號
79,臺北市體育總會,3.7,6,綜合運動中心,"25.0487102,121.55107",台北市松山區敦化北路3號168室
80,泰樺實業有限公司,4.5,2,運動用品店,"25.0513519,121.5935707",台北市南港區市民大道七段355巷14號
81,大榮桌球,5.0,9,乒乓球設施,"25.0785278,121.549413",台北市中山區明水路397巷19弄26號B1
82,中正運動中心,4.2,3,綜合運動中心,"25.0384552,121.519462",台北市中正區信義路一段1號
83,太空人桌球教室（行天宮/松江南京站）/成人桌球教學/兒童桌球教學,5.0,45,乒乓球設施,"25.0565671,121.5292441",台北市中山區吉林路154巷15號B1
84,三陽社,4.8,33,運動用品店,"25.0626919,121.5133758",台北市大同區重慶北路二段196號
85,晴乒乓-台北松山桌球/乒乓球課程 兒童/國中/高中/團體/一對一/夏令營 體驗課教學 哈達瑜珈 PTT Dcard,5.0,88,乒乓球設施,"25.0520702,121.547338","B1, No. 331號南京東路三段松山區台北市105"
86,臺北市信義運動中心Taipei Xinyi Sports Center,4.1,2,綜合運動中心,"25.0316985,121.566768",台北市信義區松勤街100號
87,捷運板橋站桌球場,0,0,乒乓球設施,"25.0131971,121.4625357",新北市板橋區新府路旁號
88,舞動陽光有限公司,2.9,27,健身室,"25.0648806,121.5161576",台北市大同區大龍街51號
89,乒博桌球積分賽,0,0,乒乓球設施,"25.0027335,121.5207776",新北市永和區秀朗路二段20號B1
90,台北圓山飯店聯誼會 桌球室,4.0,6,健身室,"25.0798862,121.5283675",台北市中山區中山北路四段1巷1弄1號2樓
91,起點乒乓館-中和桌球教室,4.9,33,乒乓球設施,"24.9956321,121.4657552",新北市中和區壽德街15號1樓
92,耀馬體育用品,3.9,110,運動用品店,"25.0200139,121.533679",台北市大安區新生南路三段62號
93,麒麟桌球有限公司,4.0,2,運動用品店,"25.0581179,121.5318086",台北市中山區民生東路二段119號2樓
94,乒乓總動員,5.0,283,主場,"25.0510607,121.4535424",新北市新莊區中華路二段158號
95,臺北市南港運動中心 Taipei Nangang Sports Center,4.0,2,乒乓球設施,"25.0487933,121.581875",台北市南港區玉成街69號
96,長弓體育用品,4.5,208,運動用品店,"25.0143675,121.5334565",台北市中正區汀州路三段205號
97,臺北市大同運動中心,4.0,1,綜合運動中心,"25.065371,121.5161993",台北市大同區大龍街51號
98,臺北萬華運動中心,4.1,2,綜合運動中心,"25.0474576,121.5068673",台北市萬華區西寧南路6-1號
99,Chanson 強生運動科技 台北旗艦店,3.9,24,運動用品店,"25.0510477,121.5371893",台北市中山區建國北路一段69號
100,台北壁球中心TaipeiSquashCenter,4.4,46,健身室,"25.0598526,121.5645828",台北市松山區民生東路五段171號海 華 大廈號 B2
101,士勛桌球室,0,0,乒乓球設施,"25.0581194,121.5317929",台北市中山區民生東路二段119號
102,臺北市內湖運動中心 Taipei Neihu Sports Center,4.0,884,乒乓球設施,"25.0781567,121.5747649",台北市內湖區洲子街12號
103,飛揚體育用品社,4.2,297,運動用品店,"25.088038,121.5217669",台北市士林區承德路四段212號
104,乒乓樂桌球（新店三民店）,5.0,1,乒乓球設施,"24.9716954,121.536115",新北市新店區三民路42號B1
105,連晟體育用品有限公司,5.0,1,運動用品店,"25.0689564,121.5195525",台北市大同區民族西路31巷10號
106,西門桌球學苑 com100.org,0,0,乒乓球會,"25.0594724,121.5627777","八樓, No. 163-1號民生東路五段松山區台北市105065"
107,臺北市中山運動中心,4.0,2,健身室,"25.0548433,121.5213449",台北市中山區中山北路二段44巷2號
108,捷揚體育用品社,4.6,19,體育用品店,"25.0285944,121.5644538",台北市信義區莊敬路325巷42號
109,長城桌球體育用品社 板橋店,4.6,82,乒乓球用品店,"25.0116762,121.4610988",新北市板橋區民權路79號
110,超行星桌球舘,4.7,46,乒乓球設施,"25.065502,121.6540064",新北市汐止區大同路二段240號8樓之1
111,舞動陽光-華江高中運動中心,4.0,95,綜合運動中心,"25.0285424,121.4963425",台北市萬華區西藏路213號
