id,name,star,comment,class,coordinate,address
1,社子棒球場,4.1,617,棒球場,"25.0942022,121.5069819",台北市士林區通河西街二段
2,北門體育用品股份有限公司,4.5,75,運動用品店,"25.0910593,121.5196523",台北市士林區士商路76號
3,野球魂棒壘用品店,4.7,453,運動用品店,"25.0203634,121.5333339",台北市大安區新生南路三段56巷10號
4,臺大棒球場,4.0,49,棒球場,"25.0204818,121.5356557",台北市大安區羅斯福路四段1號
5,野球魂棒壘用品店內湖店,4.5,86,運動用品店,"25.0842572,121.5722017",台北市內湖區內湖路一段411巷85號
6,hibaseball,5.0,35,棒球用品店,"25.0581738,121.5637924",台北市松山區民生東路五段184號2號樓之6
7,大育體育用品有限公司,4.5,33,運動用品店,"25.0308651,121.5535866",台北市大安區通化街38巷20號1樓
8,臺北大巨蛋,4.4,666,棒球場,"25.0424367,121.5595066",台北市信義區忠孝東路四段345號
9,新生公園棒球場,4.2,162,棒球場,"25.0692803,121.53241",台北市中山區新生北路三段105號
10,彩虹少棒場,4.9,8,少年棒球場,"25.0565594,121.5730139",台北市內湖區114
11,迪化壘球場,3.7,27,壘球場,"25.0741149,121.509582",台北市大同區
12,迎風河濱公園棒球場F場地,4.5,20,棒球場,"25.0726575,121.5684594",台北市松山區105 台北市松山區塔悠疏散門(基六號水門)進入
13,波特少棒,0,0,棒球隊,"25.0498061,121.5376",facebook.com
14,青年公園棒球場,4.3,592,棒球場,"25.0234239,121.5035669",台北市萬華區水源路199號
15,中華民國學生棒球運動聯盟,4.3,4,協會或機構,"25.0517783,121.5298191",台北市中山區南京東路二段58號10樓
16,台北市立天母棒球場,4.4,2,棒球場,"25.1132352,121.532986",台北市士林區忠誠路二段77號
17,社子島棒球場B場,4.7,6,棒球場,"25.0943134,121.505501",台北市士林區
18,迎風G棒球場,4.6,19,棒球場,"25.0720421,121.5668079",台北市松山區
19,凱盟棒壘專賣,4.8,115,運動用品店,"25.021077,121.468843",新北市板橋區民生路二段223號
20,道南河濱棒球場,4.4,60,棒球場,"24.9846559,121.5727973",台北市文山區
21,Pakyu Baseball 一起來打球,0,0,棒球用品店,"25.117541,121.5068918",台北市北投區尊賢街247號
22,社子島棒球場C場地,4.4,10,棒球場,"25.0937495,121.5084739",台北市士林區
23,台大棒球場打擊網屋(鳥籠),5.0,1,棒球場,"25.0205416,121.5345255",台北市大安區新生南路三段37號
24,華江棒球場(D),4.2,308,棒球場,"25.0343416,121.4876921",台北市萬華區堤外便道
25,迎風河濱公園棒球場D場地,4.4,275,棒球場,"25.0734272,121.5692659",台北市松山區
26,福和壘球場,4.1,200,壘球場,"25.0019667,121.5350294","棒球場, 溪洲街文山區台北市116"
27,觀山棒球場D球場,4.3,9,棒球場,"25.0734328,121.5692568",台北市松山區觀山棒球場號
28,倍斯特體育,0,0,戶外運動用品店,"25.049981,121.5788369",台北市松山區八德路四段758號3樓
29,大聯盟棒壘球打擊場,4.1,787,打擊練習場,"25.0437855,121.5054084",台北市萬華區峨眉街52號8樓
30,富邦悍將棒球隊 新莊棒球場,4.5,213,棒球場,"25.0408957,121.4475281",新北市新莊區和興街66號
31,華江棒球場(C),4.5,4,棒球場,"25.0343478,121.486698",台北市萬華區
32,台灣原住民族棒球運動發展協會（產業聚落發展計畫辦公室）,3.0,1,協會或機構,"25.0544566,121.603882",台北市南港區南港路二段60巷16號1 樓
33,迎風河濱公園棒球場E場地,4.7,3,棒球場,"25.0722611,121.5697702",台北市松山區觀山棒球場號
34,新北市立新莊棒球場,4.3,10,棒球場,沒有座標,新北市新莊區和興街66號
35,星野球棒壘用品,4.3,58,戶外運動用品店,"24.9951894,121.5077112",新北市中和區安和路85號
36,彩虹壘球場,4.4,214,健身室,"25.06393,121.5715225",台北市內湖區
37,臺大新生籃球場,4.1,43,籃球場,"25.0191973,121.5359528",台北市大安區羅斯福路四段一號體育室
38,文瑞體育用品有限公司,4.4,116,運動用品店,"25.0419619,121.513033",台北市中正區重慶南路一段114號
39,美堤壘球 B 場,4.6,5,壘球場,"25.0754242,121.5646633",台北市中山區
40,汀沃克有限公司,4.4,5,運動用品店,"25.0359056,121.547862",台北市大安區東豐街66號3樓
41,湯揉兄弟,5.0,17,棒球用品店,"25.0519706,121.5794726",台北市松山區松河街268號
42,民權公園壘球場,4.8,8,壘球場,"25.0615439,121.5601253",台北市松山區新中街51號
43,湯揉大-WE Baseball Studio,4.9,17,體育用品店,"25.0933089,121.4745052",新北市蘆洲區民族路422巷48弄22之2號
44,迎風壘球場C,3.7,6,壘球場,"25.074955,121.549581",台北市中山區
45,臺北和平籃球館,4.4,2,籃球場,"25.0215212,121.5453433",台北市大安區敦南街76巷28號
46,飛揚體育用品社大安店,4.3,139,運動用品店,"25.0202115,121.5474583",台北市大安區基隆路三段18號
47,鴻豐體育用品公司,4.3,3,運動用品店,"25.0499421,121.5833585",台北市南港區東新街10之8號1樓
48,中山棒球場,4.4,156,棒球場,"25.0631423,121.4732573",新北市三重區疏洪十二路
49,中正橋棒球場,4.2,268,棒球場,"25.0194622,121.511478",新北市永和區環河西路一段99號
50,大都會棒球場,4.3,178,棒球場,"25.065252,121.4699684",新北市三重區疏洪十二路
51,新月橋棒球場,4.2,184,棒球場,"25.0231275,121.4436692",新北市新莊區越堤道17號
52,台大壘球場(小場),0,0,壘球場,"25.0210684,121.5346922",沒有地址
53,寶頡體育用品,5.0,1,運動用品店,"24.9878253,121.5619185",台北市文山區興隆路四段105巷29號1樓
54,一軍運動用品,4.6,181,體育用品店,"25.0659756,121.4809925",新北市三重區忠孝路三段46之2號
55,秀朗B壘球場,4.0,8,壘球場,"24.9947331,121.5296302",新北市永和區
56,排球場,4.6,61,排球場,"25.0143115,121.542834",台北市大安區基隆路四段43號
57,旗開體育用品社,3.9,77,體育用品店,"25.048765,121.587876",台北市南港區忠孝東路六段238號
58,新太陽運動用品,3.8,246,運動用品店,"25.0404192,121.4466074",新北市新莊區和興街45號
59,秀朗橋棒球場,4.0,216,棒球場,"24.9834442,121.5242959",新北市新店區秀朗大橋自行車道旁
60,雙園網球場,4.2,38,網球場,"25.0341126,121.4883192",台北市萬華區
61,世運體育用品社,4.6,193,運動用品店,"25.071838,121.495014",新北市三重區三和路三段61號
62,亞洲體育用品,4.7,42,體育用品店,"25.049447,121.521194",台北市中山區中山北路一段98號
63,成美A壘球場,4.5,91,壘球場,"25.0574393,121.5885097",台北市內湖區潭美街287號號
64,迎風足球場,4.5,215,足球場,"25.0739694,121.5520246",台北市中山區
65,71 Sports 投打學苑（內湖科學園區館）,4.5,83,棒球場,"25.0558787,121.5806815",台北市內湖區新明路380巷9弄14號對面
66,DA VILLAGE 籃球部落,4.1,33,運動服裝店,"25.038795,121.4599149",新北市新莊區中正路68號10F
67,合歡山育樂用品社,4.1,9,運動用品店,"25.0451246,121.5323342",台北市中正區市民大道三段8號2樓9室
68,三重棒球場,4.2,270,棒球場,"25.0597318,121.4808961",新北市三重區水漾路一段300號
69,連晟體育用品有限公司,5.0,1,運動用品店,"25.0689564,121.5195525",台北市大同區民族西路31巷10號
70,文發體育用品社,4.6,67,運動用品店,"25.0418949,121.5013122",台北市萬華區內江街105號
71,臺大中央籃球場,4.4,63,籃球場,"25.020218,121.5364746","號, No. 38-1羅斯福路四段中正區台北市100"
72,重新棒球場,4.3,212,棒球場,"25.0495784,121.4819661",新北市三重區中山路27號
73,NiceSports好的運動-帕菲克運動基地,4.9,323,棒球場,"24.990773,121.4903762",新北市中和區錦和路388號2樓
74,綠野運動廠-棒壘用品,4.6,38,棒球用品店,"24.988806,121.445068",新北市土城區中華路一段56巷7號2F
75,松發登山體育用品店,4.1,57,運動用品店,"25.0000071,121.5560569",台北市文山區興隆路三段62號
76,上展體育用品行,4.3,159,運動用品店,"25.058961,121.566697",台北市松山區民生東路五段248號
77,耶魯曼體育用品店,1.0,1,運動用品店,"25.0781728,121.5750554",台灣台北市 內湖區洲子街12號
78,全球複合式運動休閒館,3.6,247,保齡球場,"24.9996766,121.4960808",新北市中和區連城路116號
79,喬治城運動用品,4.9,50,運動用品店,"25.0918782,121.5265186",台北市士林區文林路296號
80,大漢棒球場,4.3,241,棒球場,"25.0339348,121.4641283",新北市板橋區大漢橋
81,天王星體育用品,4.1,77,運動用品店,"25.0257555,121.5521564",台北市大安區樂利路87號
82,野球部品專門店,5.0,1,棒球用品店,"25.0558787,121.5806815",台北市內湖區新明路380巷9弄14號 對面
83,耀馬體育用品,3.9,110,運動用品店,"25.0200139,121.533679",台北市大安區新生南路三段62號
84,NEW ERA西門町旗艦店,4.6,47,運動用品店,"25.042453,121.5068399",台北市萬華區成都路20號
85,臺灣師大體育館,4.4,418,體育館,"25.0258941,121.5265655",台北市大安區和平東路一段162號
86,大魯閣棒壘球打擊場 新莊館,4.3,4,棒球場,"25.0317519,121.4321271",新北市新莊區中正路621號
87,詹士運動休閒用品(民族店),4.1,158,戶外運動用品店,"25.068282,121.523795",台北市中山區民族東路8號
88,"萬年青運動用品社(MIZUNO,ASICS)",4.5,62,運動用品店,"25.0261518,121.5003239",台北市萬華區萬大路252號
89,台師大公館校區網球場,4.0,1,網球場,"25.0087516,121.53691",台北市文山區
90,新航體育用品社,4.2,209,運動用品店,"25.0395855,121.4502978",新北市新莊區公園路84號
91,球棒職人工坊,4.0,6,運動用品店,"25.0146666,121.5210721",新北市永和區環河東路一段154號
92,松山體育,4.4,266,運動用品店,"25.042447,121.577619",台北市信義區松山路314號
93,中華民國棒球協會,1.4,59,協會或機構,"25.0613527,121.5941919",台北市內湖區安康路22巷33號4樓
94,億昌86A棒球室內訓練場,4.6,127,健身俱樂部,"25.1016671,121.4089824",新北市五股區民義路二段43巷18號
