id,name,star,comment,class,coordinate,address
1,臺北小巨蛋冰上樂園,4.1,2,溜冰場,"25.0510986,121.5504786",台北市松山區南京東路四段2號2樓
2,中國信託金融園區戶外滑冰場,4.4,557,溜冰場,"25.0591684,121.6155071",台北市南港區經貿二路168號
3,溜冰場,4.8,4,溜冰場,"25.0937826,121.5047993",台北市士林區
4,大魯閣Roller186滑輪場 小巨蛋館,4.8,1,滾軸溜冰場,"25.0510696,121.5497293",台北市松山區南京東路四段2號1樓
5,古亭河濱公園溜冰場,4.0,3,滾軸溜冰場,"25.0201139,121.5220328",台北市中正區
6,大安森林公園溜冰場,4.1,172,滾軸溜冰場,"25.0324632,121.53588",台北市大安區新生南路二段1號
7,溜冰場,5.0,1,滾軸溜冰場,"24.9874671,121.5588266",台北市文山區興隆路四段46巷78號
8,圓山河濱公園溜冰場,4.3,62,溜冰場,"25.0746457,121.5271773",台北市中山區
9,青年公園滑輪場,4.2,53,滾軸溜冰場,"25.0207203,121.5044646",台北市萬華區水源路199號
10,獵鷹溜冰隊,4.7,3,運動協會,"25.0634068,121.5388882",台北市中山區民權東路三段段榮星花園
11,天母運動公園滑輪場,4.6,17,滾軸溜冰場,"25.1148573,121.5334177",台北市士林區忠誠路二段77號
12,滑輪場,4.0,1,滾軸溜冰場,"25.1009512,121.5360504",台北市士林區
13,輪式溜冰場,4.0,1,滾軸溜冰場,"25.0991427,121.5207723",台北市士林區111
14,溜冰場,5.0,1,溜冰場,"24.9897557,121.5365989",新北市新店區
15,迎風滑輪場,4.5,63,滾軸溜冰場,"25.074353,121.548499",台北市中山區
16,極光冰場 Aurora Ice Rink,4.6,371,溜冰場,"25.0823004,121.5566758",台北市中山區樂群三路200號6樓
17,北投公園溜冰場,4.3,12,溜冰場,"25.1370805,121.5057293",台北市北投區中山路3-1號
18,成美右岸河濱公園 -溜冰場,3.8,30,公園,"25.0595073,121.591445",台北市內湖區114
19,直排輪教學台北-王者溜冰隊｜一對一、團體課、包班上課、小班制｜大安森林公園直排輪免費試溜,5.0,46,運動協會,"25.0333274,121.5325299",台北市大安區新生南路二段2號
20,江子翠第二溜冰場,4.2,17,滾軸溜冰場,"25.0317755,121.4824759",新北市板橋區環河西路四段321號
21,滑冰世界運動用品,4.6,37,運動用品店,"25.0327252,121.475738",新北市板橋區文聖街11巷13號
22,哈士奇滑冰股份有限公司,4.0,1,運動用品店,"25.0435635,121.5021428",台北市萬華區成都路106號
23,黑蝙蝠溜冰隊-總部,5.0,17,滾軸溜冰會,"25.056043,121.605404",台北市南港區東明街5號
24,萬板大橋溜冰場,3.6,29,滾軸溜冰場,"25.029868,121.483291",新北市板橋區
25,立農公園輪式溜冰場,0,0,滾軸溜冰場,"25.1193464,121.5037562",台北市北投區
26,直排輪溜冰場,4.2,44,主場,"24.9995062,121.5118583",新北市中和區
27,社子公園溜冰場,0,0,滾軸溜冰場,"25.0908917,121.5061228",台北市士林區
28,輪式溜冰場,4.3,6,滾軸溜冰場,"25.1756393,121.4476374",新北市淡水區淡江大學內部教學設施
29,酷冰Frozone,4.2,208,溜冰場,"24.9854913,121.4572293",新北市土城區金城路二段247-1號3 樓
30,江子翠溜冰場,4.3,200,滾軸溜冰場,"25.030493,121.482803",新北市板橋區
31,四號公園溜冰場,0,0,滾軸溜冰場,"25.0702934,121.6180575",台北市內湖區康樂街110巷16弄22號
32,美堤極限公園,4.1,74,公園,"25.076543,121.554819",台北市中山區樂群一路16號
33,天和公園輪式溜冰場,0,0,滾軸溜冰場,"25.1197065,121.534257",台北市士林區
34,百齡左岸溜冰場（社子岸）,4.3,121,主場,"25.0854227,121.513134",台北市士林區通河東街一段1段百齡橋下基隆河兩岸
35,天和公園輪式溜冰場,0,0,滾軸溜冰場,"25.1197065,121.534257",台北市士林區
