id,name,star,comment,class,coordinate,address
1,臺北和平籃球館,4.4,2,籃球場,"25.0215212,121.5453433",台北市大安區敦南街76巷28號
2,大安森林公園籃球場,4.2,111,籃球場,"25.0316568,121.5359766",台北市大安區新生南路二段1號
3,景美運動公園籃球場,4.5,2,籃球場,"25.0028353,121.5445858",台北市文山區景豐街48巷11弄106-1號
4,臺北市和平國小暨籃球運動館,4.3,15,學校,"25.020939,121.545461",台北市大安區辛亥路三段49號
5,籃球場,5.0,1,籃球場,"25.0047688,121.5342563",台北市文山區
6,新生公園籃球場,4.3,269,籃球場,"25.0685674,121.5326822",台北市中山區民族東路240號
7,民權運動公園籃球場,3.0,1,籃球場,"25.0619067,121.5591854",台北市富錦街359巷2弄與號新中街口
8,天母運動公園籃球場,4.0,35,籃球場,"25.11364,121.5346328",台北市士林區士東路228號
9,籃球場,3.3,7,籃球場,"25.0493746,121.5417893",台北市中山區
10,臺北市大安區和平實驗國民小學附屬籃球館暖身球場,4.6,143,籃球場,"25.0217101,121.546059",台北市大安區
11,籃球場,0,0,籃球場,"25.0093304,121.5366525",台北市文山區
12,臺大新生籃球場,4.1,43,籃球場,"25.0191973,121.5359528",台北市大安區羅斯福路四段一號體育室
13,心樂網 Happinet | 幼兒網球 · 幼兒籃球 · 空中瑜珈 · 地板瑜珈,5.0,6,綜合運動中心,"25.0667683,121.5158865",台北市大同區大龍街110號2 樓
14,籃球場,5.0,1,籃球場,"24.9929207,121.5716393",台北市文山區116
15,洲美快速道路下籃球場,4.2,46,籃球場,"25.1148763,121.4995021",台北市北投區承德路七段401巷175號
16,地震中心前籃球場,3.7,31,籃球場,"25.0184555,121.5465865",台北市大安區基隆路三段83-85號
17,美堤籃球場,4.5,85,籃球場,"25.0767447,121.5527025",台北市中山區
18,臺大中央籃球場,4.4,63,籃球場,"25.020218,121.5364746","號, No. 38-1羅斯福路四段中正區台北市100"
19,建成公園籃球場,4.4,15,籃球場,"25.0545159,121.5188504",台北市大同區
20,舞動陽光-博愛國小運動中心,4.2,181,體育館,"25.0363244,121.5709566",台北市信義區松仁路95巷20號
21,籃球場,4.4,8,籃球場,"25.0525967,121.526843",台北市中山區南京東路一段
22,籃球場,4.3,16,籃球場,"25.1008033,121.5364249",台北市士林區
23,寧安公園籃球場,3.9,9,籃球場,"25.0503432,121.5548879",台北市松山區
24,延平籃球場,4.2,64,籃球場,"25.0538717,121.5064619",台北市大同區市民大道
25,中正河濱籃球場,4.8,9,籃球場,"25.0234728,121.5137311",台北市中正區
26,單框籃球場,5.0,2,籃球場,"25.1011118,121.534665",台北市士林區
27,古亭河濱公園籃球場,4.3,455,籃球場,"25.0144935,121.5256417",台北市中正區水源路9-3號
28,實踐大學籃球場,3.9,16,籃球場,"25.0845868,121.5446878",台北市中山區
29,台灣籃球名人堂,0,0,籃球場,"25.0521498,121.5426043",台北市中山區南京東路三段201號九樓
30,河神籃球場,4.3,6,籃球場,"24.999007,121.53483",台北市文山區水源快速道路
31,登峰造極系列賽 (籃球、排球、啦啦隊),5.0,3,籃球場,"25.0420039,121.549308",台北市大安區敦化南路1段205號1603
32,新生高架橋籃球場,4.2,312,籃球場,"25.0450857,121.5304331",台北市中正區新生高架道路129號
33,WCDB籃球訓練教室,0,0,籃球場,"25.088212,121.5216968",台北市士林區承德路四段218號
34,籃球場,0,0,籃球場,"25.0945447,121.5048442",台北市士林區
35,潭美籃球場,3.6,21,籃球場,"25.053482,121.5746209",台北市內湖區
36,百齡籃球場,4.1,65,籃球場,"25.0865121,121.5151037",台北市士林區通河東街一段125號
37,台大醫學院籃球場,5.0,5,籃球場,"25.0398378,121.5216594",台北市中正區
38,青年公園籃球場,4.4,272,籃球場,"25.0210599,121.5051044",台北市萬華區水源路199號
39,北安休閒運動中心,4.0,148,籃球場,"25.0791984,121.5424698",台北市中山區北安路400巷1弄12號
40,北二高 老泉 籃球場,3.8,60,籃球場,"24.9761116,121.5585633",台北市文山區
41,市民林森路口籃球場,4.1,53,籃球場,"25.0481207,121.5246437",台北市中山區林森北路37巷59號
42,籃球場,4.0,4,籃球場,"25.0847031,121.5131683",台北市士林區
43,二座全場籃球場,1.0,1,籃球場,"25.0811898,121.5169014",台北市士林區
44,維度運動 WeDo Sports,4.8,18,補習社,"24.6498294,121.2338514",wedosports.net
45,古亭河濱籃球場,4.3,15,籃球場,"25.019862,121.5214038",台北市中正區
46,社子公園籃球場,4.2,10,籃球場,"25.0911642,121.5062143",台北市士林區永平街46巷3弄15號
47,斯科特運動團隊,4.9,183,運動協會,"24.6498294,121.2338514",lin.ee
48,三腳渡籃球場,4.8,27,籃球場,"25.0810816,121.5170146",台北市士林區通河東街一段7號
49,臺北市北投運動中心,4.1,2,綜合運動中心,"25.1165007,121.5098316",台北市北投區石牌路一段39巷100號
50,美堤河濱公園籃球場,5.0,1,籃球場,"25.0742014,121.5627772",台北市中山區金泰里、10491
51,美崙公園籃球場,4.3,30,籃球場,"25.0974338,121.5187503",台北市士林區美崙街152巷16號
52,單框籃球場,3.8,6,籃球場,"25.1010146,121.5323385",台北市士林區
53,延平籃球場1,4.0,1,籃球場,"25.0522659,121.5061588",台北市大同區
54,景華公園籃球場,4.0,7,籃球場,"24.9959003,121.5436434",台北市文山區景興路46巷2號
55,天母公園籃球場,3.5,4,籃球場,"25.1255165,121.5303798",台北市士林區中山北路七段141巷天母公園
56,圓山育樂中心(保齡球館)-台北士林圓山保齡球/Jackpot/飛鏢機/撞球/籃球機 運動休閒/室內景點活動/下雨景點去處/親子/網美 劍潭捷運站附近 價格人氣推薦 PTT Dcard,2.7,122,保齡球場,"25.0821811,121.5259278",台北市士林區中山北路五段6號
57,玉成河濱籃球場,4.2,9,籃球場,"25.0526568,121.5815312",台北市南港區
58,南港公園籃球場,4.3,58,籃球場,"25.0447479,121.5918581",台北市南港區東新街170號
59,雙園籃球場,4.6,99,籃球場,"25.0335693,121.4880176",台北市萬華區環河南北快速道路325號
60,麥帥一橋籃球場,4.1,167,籃球場,"25.0531713,121.5740623",台北市內湖區
61,道南4籃球場,4.3,3,籃球場,"24.9863103,121.5718362",台北市文山區116
62,臺北市大安運動中心,4.2,5,健身室,"25.020739,121.545757",台北市大安區辛亥路三段55號
63,中油中崙球場,4.2,114,籃球場,"25.0459772,121.540138","台北 市 中山 區 八 德 路 二 段 218 巷 1 號 ；No. 1 Lane 218 Section 2 Bade Rd, 中山區台北市10491"
64,彩虹籃球場,4.4,39,籃球場,"25.0549184,121.5730508",台北市內湖區Unnamed Road
65,浮洲運動公園籃球場,4.4,97,籃球場,"25.0146762,121.4481635",新北市板橋區
66,社子大橋下籃球場,4.3,266,籃球場,"25.1108573,121.4948996","大橋北側自行車引道, 2OO弄1O_1号, 社子大穚新提防，直下走就籃球場景地, 延平北路八段2巷士林區台北市111"
67,大倫籃球場,2.8,5,籃球場,"25.1349866,121.5400589","號, No. 9凱旋路61巷4弄士林區台北市111"
68,臺灣神學院籃球場,4.1,14,籃球場,"25.100973,121.5408807",台北市士林區仰德大道二段2巷20號
69,臺北市內湖運動中心 Taipei Neihu Sports Center,4.0,884,籃球場,"25.0781567,121.5747649",台北市內湖區洲子街12號
70,天壽公園籃球場,4.5,11,籃球場,"25.1169387,121.5246345",台北市士林區
71,臺北市南港運動中心 Taipei Nangang Sports Center,4.0,2,籃球場,"25.0487933,121.581875",台北市南港區玉成街69號
72,Momentum摩曼頓花花 NIKE Jordan 籃球體驗店,4.0,126,運動用品店,"25.043495,121.50766",台北市萬華區峨眉街11號
73,排球場,4.6,61,排球場,"25.0143115,121.542834",台北市大安區基隆路四段43號
74,道南5籃球場,5.0,1,籃球場,"24.983408,121.571086",台北市文山區
75,立農公園籃球場,1.8,4,籃球場,"25.1184222,121.5034765",台北市北投區承德路七段378號
76,北醫排球場,4.6,24,排球場,"25.0245732,121.5615176",台北市信義區110
77,Urspor 活力射手籃球營,5.0,3,活動管理公司,"25.0075628,121.5387752",台北市文山區羅斯福路五段35號
78,東陽公園籃球場,3.0,1,籃球場,"25.0580399,121.597833",台北市南港區重陽路187巷6號
79,臺北市信義運動中心Taipei Xinyi Sports Center,4.1,2,綜合運動中心,"25.0316985,121.566768",台北市信義區松勤街100號
80,榮華公園籃球場,4.7,22,籃球場,"25.110256,121.5215113",台北市北投區明德路150巷11-17號
81,百齡左岸籃球場C.D,0,0,籃球場,"25.0844405,121.5132496",台北市士林區通河西街一段76號
82,錦和運動公園籃球場,4.3,19,籃球場,"24.992576,121.4875759",新北市中和區
83,百齡左岸籃球場,5.0,6,籃球場,"25.0918245,121.5111591",台北市士林區
84,國立臺北科技大學 學生運動場,4.1,173,田徑場,"25.042458,121.537521",台北市大安區建國南路一段105號
