id,name,star,comment,class,coordinate,address
1,鐵哥的羽球專賣店,4.7,206,運動用品店,"25.0237498,121.543227",台北市大安區復興南路二段304號
2,仟翔體育用品 - VICTOR 羽球概念店 (Chian Shiang Sports - VICTOR Badminton Flagship Store),4.6,372,體育用品店,"25.0284958,121.5456208",台北市大安區復興南路二段151巷45號
3,古亭河濱公園羽球場,4.5,38,羽毛球場,"25.0202073,121.5215287",台北市中正區
4,寰羽羽球專賣店,4.3,206,運動用品店,"25.0573555,121.5173114",台北市大同區民生西路169號
5,圓環羽球場,4.1,161,羽毛球場,"25.0542221,121.5132232","樓, No. 163號南京西路大同區台北市103"
6,一支獨秀羽球工坊,4.6,345,運動用品店,"25.0138485,121.5346965",台北市中正區羅斯福路四段90巷2-2號
7,華江羽球館,4.0,23,羽毛球場,"25.0285426,121.4963415",台北市萬華區西藏路213號
8,一線入魂羽球概念店,4.9,2,體育用品店,"25.0486286,121.5308758",台北市中山區長安東路二段21號
9,凱將體育羽球專業店,4.8,819,體育用品店,"25.0615603,121.5226794",台北市中山區中山北路二段126-3號2樓
10,羽球場,4.5,59,羽毛球場,"25.0211835,121.5048036",台北市萬華區水源路199號
11,飛達羽球專賣店,5.0,17,運動用品店,"25.0353076,121.4917154",台北市萬華區和平西路三段376號
12,紅牛運動球拍用品店,4.5,70,運動用品店,"25.0511059,121.567913",台北市松山區南京東路五段(堤頂交流道 內湖科技園區)312號1樓
13,PAQ羽球台灣總代理/羽球拍/握把布/羽球拍線/羽球拍穿線,5.0,4,運動用品店,"25.0419877,121.5493176",台北市大安區敦化南路1段205號2樓之5
14,BonnyLive 波力動活網,4.6,21,運動用品店,"25.0289115,121.5213572",台北市中正區羅斯福路二段9號6號樓之一
15,Yonex Badminton (no tennis equipment),4.8,13,羽毛球會,"25.042447,121.577619",台北市信義區松山路314號
16,上展體育用品行,4.3,159,運動用品店,"25.058961,121.566697",台北市松山區民生東路五段248號
17,力揚體育 羽球店,5.0,1,運動用品店,"25.0692649,121.518661",台北市大同區承德路三段185號
18,龍騰虎躍有限公司,4.4,183,運動用品店,"25.0164909,121.530332",台灣中正區汀州路三段123號
19,舞動陽光-博愛國小運動中心,4.2,181,體育館,"25.0363244,121.5709566",台北市信義區松仁路95巷20號
20,松山體育,4.4,266,運動用品店,"25.042447,121.577619",台北市信義區松山路314號
21,臺北市信義運動中心Taipei Xinyi Sports Center,4.1,2,綜合運動中心,"25.0316985,121.566768",台北市信義區松勤街100號
22,臺北市大安運動中心,4.2,5,綜合運動中心,"25.020739,121.545757",台北市大安區辛亥路三段55號
23,向陽羽球館,4.5,82,羽毛球場,"25.0062922,121.4831171",新北市中和區中山路二段568巷20弄4-1號
24,合歡山育樂用品社,4.1,9,運動用品店,"25.0451246,121.5323342",台北市中正區市民大道三段8號2樓9室
25,北泰運動用品,4.6,250,運動用品店,"25.0090103,121.5143862",新北市永和區永和路一段184號
26,綠寶石運動公園-羽球場,3.9,15,羽毛球場,"25.0191526,121.5123155",新北市永和區
27,耀馬體育用品,3.9,110,運動用品店,"25.0200139,121.533679",台北市大安區新生南路三段62號
28,臺北體育館,4.3,2,體育館,"25.0513025,121.5520716",台北市松山區南京東路四段10號
29,天晴體育用品社,5.0,63,體育用品店,"25.0369771,121.5037525",台北市萬華區昆明街279號一樓
30,捷揚體育用品社,4.6,19,體育用品店,"25.0285944,121.5644538",台北市信義區莊敬路325巷42號
31,文瑞體育用品有限公司,4.4,116,運動用品店,"25.0419619,121.513033",台北市中正區重慶南路一段114號
32,原點羽球用品,0,0,運動用品店,"25.0285008,121.4953046",台北市萬華區西園路二段218號
33,李寧羽球專賣店-松山門市,4.8,17,體育用品店,"25.061627,121.548388",台北市松山區民權東路三段164號1樓
34,台北壁球中心TaipeiSquashCenter,4.4,46,健身室,"25.0598526,121.5645828",台北市松山區民生東路五段171號海 華 大廈號 B2
35,MST國際穿線團隊-台北公館店,4.8,95,運動用品店,"25.008628,121.537599",台北市文山區羅斯福路五段50號
36,羽球場,1.0,1,網球場,"24.9865847,121.5718909",台北市文山區116
37,一鳴驚人體育用品社,4.6,183,運動用品店,"24.9995825,121.4788513",新北市中和區民安街61號
38,國立臺北科技大學 學生運動場,4.1,173,田徑場,"25.042458,121.537521",台北市大安區建國南路一段105號
39,海神體育,5.0,21,體育用品店,"25.0362678,121.5749437",台北市信義區松德路167號
40,臺北市松山運動中心,4.0,2,綜合運動中心,"25.0485938,121.5503847",台北市松山區敦化北路1號
41,中和羽道館,4.3,349,羽毛球場,"24.9870549,121.4859043",新北市中和區圓通路437-7號
42,中華民國羽球協會,1.8,41,協會或機構,"25.0498459,121.5393858","樓810室, No. 20號朱崙街中山區台北市10491"
43,MST國際穿線團隊-台北松江店,4.8,159,體育用品店,"25.0668773,121.5330783",台北市中山區松江路528號
44,馬上學有限公司,0,0,運動用品店,"25.0380803,121.5570635",台北市大安區仁愛路四段445號5樓
45,中正運動中心,4.2,3,綜合運動中心,"25.0384552,121.519462",台北市中正區信義路一段1號
46,臺北市南港運動中心 Taipei Nangang Sports Center,4.0,2,綜合運動中心,"25.0487933,121.581875",台北市南港區玉成街69號
47,臺北和平籃球館,4.4,2,籃球場,"25.0215212,121.5453433",台北市大安區敦南街76巷28號
48,臺北市網球中心,4.2,1,網球場,"25.0675708,121.596956",台北市內湖區民權東路六段208號
49,三陽社,4.8,33,運動用品店,"25.0626919,121.5133758",台北市大同區重慶北路二段196號
50,北士羽球館,4.5,162,羽球館,"25.1107568,121.5105478",台北市北投區承德路七段1巷1號
51,24磅咖啡羽球,4.6,360,運動用品店,"25.032377,121.5198512",台北市中正區寧波東街3-1號
52,成功高中運動中心,4.0,577,體育館,"25.0432149,121.5230202",台北市中正區林森南路。青島東路口
53,黃蜂體育用品（國旅卡特約商店）,4.2,62,戶外運動用品店,"25.0147703,121.532957",台北市中正區羅斯福路四段24巷12弄10號
54,北醫排球場,4.6,24,排球場,"25.0245732,121.5615176",台北市信義區110
55,臺北萬華運動中心,4.1,2,綜合運動中心,"25.0474576,121.5068673",台北市萬華區西寧南路6-1號
56,社子公園羽球場,4.1,33,羽毛球場,"25.0906019,121.50662",台北市士林區永平街20巷37弄10號
57,旗開體育用品社,3.9,77,體育用品店,"25.048765,121.587876",台北市南港區忠孝東路六段238號
58,天王星體育用品,4.1,77,運動用品店,"25.0257555,121.5521564",台北市大安區樂利路87號
59,排球場,4.6,61,排球場,"25.0143115,121.542834",台北市大安區基隆路四段43號
60,九龍羽球場,5.0,2,羽毛球場,"25.0812888,121.5267709",台北市中山區劍潭山親山步道
61,圓山自強羽毛球場,0,0,羽毛球場,"25.0816253,121.5287567",台北市中山區中山北路四段1巷1弄3號之一
62,寰羽體育用品社-網羽球專賣店 板橋店,4.5,101,網球用品店,"25.0270534,121.4760443",新北市板橋區雙十路二段79號1樓
63,展望運動中山國中星耀樓,4.1,138,體育館,"25.0613514,121.5456185",台北市松山區民權東路三段106巷3弄2號
64,蘆洲羽球館,4.2,354,羽毛球場,"25.0776065,121.4757748",新北市蘆洲區信義路34巷111號
65,亞洲體育用品,4.7,42,體育用品店,"25.049447,121.521194",台北市中山區中山北路一段98號
66,圓山和友羽球場,4.8,13,羽毛球場,"25.0808208,121.5296598",台北市中山區
67,"萬年青運動用品社(MIZUNO,ASICS)",4.5,62,運動用品店,"25.0261518,121.5003239",台北市萬華區萬大路252號
68,北冠一級磅運動用品店,4.9,119,體育用品店,"25.0788567,121.5802897",台北市內湖區內湖路二段54-2號
69,臺北市中山運動中心,4.0,2,綜合運動中心,"25.0548433,121.5213449",台北市中山區中山北路二段44巷2號
70,惠友運動,5.0,88,運動用品店,"25.0281516,121.5437407",台北市大安區復興南路二段157號
71,環宇羽球館,3.3,47,健身室,"24.9976486,121.4892629",新北市中和區錦和路140號
72,三蘆羽球館,4.4,249,羽毛球場,"25.0683365,121.4726908",新北市三重區中正北路560巷100弄17-1號
73,師大附中體育館,4.3,69,體育館,"25.0341596,121.5396717",台北市大安區信義路三段143號
74,羽球場,4.0,5,體育設施,"25.0845869,121.5446867",台北市中山區
75,倍斯特體育,0,0,戶外運動用品店,"25.049981,121.5788369",台北市松山區八德路四段758號3樓
76,北安休閒運動中心,4.0,148,泳池,"25.0791984,121.5424698",台北市中山區北安路400巷1弄12號
77,動感羽球館,4.5,112,羽球館,"25.0130642,121.4492033",新北市板橋區大觀路一段28巷125-1號
78,羽山球人羽球工坊 (預約制),5.0,2,運動用品店,"24.9810014,121.5375581",新北市新店區建國路219號
79,北關體育用品社,4.2,105,體育用品店,"25.0785513,121.5912063",台北市內湖區星雲街29號
80,晨光體育用品社,1.7,7,體育用品店,"25.02265,121.502539",台北市內湖區星雲街29號
81,吉豐羽球館,4.4,241,羽毛球場,"25.090459,121.58269",台北市內湖區內湖路三段348巷7號
82,雙溪右岸河濱公園二座羽毛球場,4.5,2,羽毛球場,"25.1001578,121.5300932",台北市士林區雙溪街32號
83,美士體育事業有限公司,5.0,1,運動用品店,"25.04433,121.52739",台北市中正區忠孝東路二段39巷2弄18號2樓
84,騰飛運動用品館,4.0,14,運動用品店,"24.9960765,121.5200625",新北市中和區自強路6號
85,臺北市內湖運動中心 Taipei Neihu Sports Center,4.0,884,綜合運動中心,"25.0781567,121.5747649",台北市內湖區洲子街12號
